,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
481.4261243,NA,NA,NA,NA,NA,8.73181265727402,8.73181265727402,NA,8.73181265727402,8.73181265727402,NA,NA,8.73181265727402,NA,NA,NA,NA,NA,NA,8.73181265727402,8.73181265727402,8.73181265727402,8.73181265727402,8.73181265727402,8.73181265727402,8.73181265727402,NA
519.3903757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17043183320718,NA,NA,NA,6.17043183320718,NA,NA
463.3274915,13.2026763487396,NA,NA,NA,NA,13.2026763487396,NA,13.2026763487396,NA,NA,13.2026763487396,NA,13.2026763487396,13.2026763487396,NA,NA,NA,13.2026763487396,NA,13.2026763487396,13.2026763487396,13.2026763487396,13.2026763487396,13.2026763487396,13.2026763487396,13.2026763487396,13.2026763487396
836.174025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17031240854215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737.214612,NA,NA,NA,7.29338601865703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
692.155767,8.8975365137071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660.1657647,8.32264617690823,8.32264617690823,NA,8.32264617690823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691.16265,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.10237801880655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705.194241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27791277361321,NA,NA,NA,NA,NA,NA,NA
674.1637457,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09408108794655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659.142423,NA,NA,NA,NA,NA,NA,NA,5.82613166173985,NA,NA,5.82613166173985,5.82613166173985,NA,NA,NA,NA,NA,NA,NA,5.82613166173985,5.82613166173985,NA,5.82613166173985,NA,5.82613166173985,NA,5.82613166173985
