,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,Gibbs.mean,Gibbs.median,Gibbs.sd
July_S_3_M_12_so_R1,0.131477232522318,0,0.24088685997147,0.252285557630742,0.189189189189189,0.254464497416921,9.90674603174603,9,6.03985802726872,0.0689484126984127,-1,8.06339386860247,393.980951962602,381.731728960127,107.334154247239,0.314910271313029,0.301582402528595,0.106374982264487,-0.195916249791533,-0.125,0.545655688816946,65.8836131190587,63.8625,15.551187131283
July_E_1_S_12_so_R1,0.133615169663866,0,0.235482988274565,0.245530956581456,0.189189189189189,0.250780622563295,9.53115727002967,9,6.3150940023491,0.220771513353116,-1,8.25808007819071,382.257457311342,366.664409770506,106.881177538924,0.293629645180041,0.279796877062466,0.10882019629823,-0.317860275225961,-0.285714285714286,0.575746215456415,69.3590178439399,68.4428571428571,16.4087671405078
July_E_1_M_12_so_R2,0.130093836740656,0,0.216576665506524,0.242335223249738,0.2,0.238642704634887,9.3156073001888,9,5.91703624897079,0.380427942101951,-1,7.22407121051098,377.647212722063,361.781204496402,104.317718772539,0.280528141724236,0.266902790808871,0.10635963505245,-0.361216966125022,-0.260869565217392,0.593798685058122,70.5946835345631,67.7347826086957,16.9232625241565
July_E_1_D_12_so_R2,0.152807631703207,0,0.251817397044697,0.266170585646948,0.217391304347826,0.253706118985984,9.83104838709677,9,6.46267951417235,0.877822580645161,-1,8.94166549682534,366.37529466909,346.761942685498,106.093451697711,0.284807198482369,0.270803038032454,0.104961752374957,-0.324296106262734,-0.260869565217392,0.579308659326697,69.5424390284879,67.7347826086957,16.5102967908109
July_E_1_D_12_so_R1,0.137113393294646,0,0.240188106018259,0.248078372517427,0.191489361702128,0.252550048245446,9.58231026785714,9,6.47727674523278,0.388113839285714,-1,8.43682195653584,387.328675352727,370.626094472964,112.180211606211,0.30254051390161,0.28783046094901,0.110897217376007,-0.345506016907203,-0.285714285714286,0.608517826606192,70.1469214818553,68.4428571428571,17.3427580582765
July_E_2_S_12_so_R1,0.12537333142933,0,0.232910397201254,0.233885967737957,0.162790697674419,0.249760093583263,9.51827330508475,8,6.49638599832262,-0.135858050847458,-2,8.69184519985543,393.034900751336,373.65883175593,117.183970640539,0.307232581997048,0.291702197186737,0.113616293592048,-0.322804380537718,-0.274294670846395,0.578055837134091,69.499924845325,68.1173981191222,16.4745913583216
July_E_2_D_12_so_R1,0.13217480796223,0,0.227492104744979,0.253370375196939,0.2,0.2402058850425,9.47432306255836,9,5.97276090170961,0.351073762838469,-1,7.81497461833423,372.212991800741,356.803800822652,103.636675125606,0.27895052326202,0.266356965249571,0.102150135343372,-0.31865077536176,-0.24,0.57995454576569,69.3815470978102,67.14,16.5287045543222
July_E_3_S_12_so_R1,0.173416439779238,0,0.284309503702332,0.279750333517365,0.21583850931677,0.287649093911682,10.3214285714286,9,7.19583729231194,0.826853526220615,-1,10.0940864570777,368.032413391728,346.837528441421,108.776988512984,0.295847477837551,0.281783470620326,0.105950877836886,-0.162908065952435,-0.102631578947368,0.517939087033115,64.9428798796444,63.225,14.7612639804438
July_E_3_M_12_so_R1,0.138643247069328,0,0.249527885893501,0.239548074366267,0.166666666666667,0.260662115763179,9.58644278606965,8,6.87812765096973,0.239427860696517,-2,9.30543130753811,378.974990030745,359.763766903426,110.849978351842,0.29340942205984,0.278465629492757,0.10841234474042,-0.300263970538291,-0.22967032967033,0.553000707593198,68.8575231603413,66.8456043956044,15.7605201664061
July_E_3_D_12_so_R1,0.135168754358318,0,0.236474413385997,0.242372485086001,0.185185185185185,0.249696560300893,9.37780093798854,9,6.15038314972358,0.478895257946847,-1,7.77074388394563,383.974407417984,370.719921987207,105.941081200495,0.292577087379613,0.278910046983214,0.104219763562487,-0.361155146657681,-0.3,0.571819212293994,70.5929216797439,68.85,16.2968475503788
Aug_P_1_S_12_so_R1,0.133498624344904,0,0.244336798270726,0.218381861776184,0.12280701754386,0.253754985193257,9.18684210526316,8,6.49692335724623,-0.00263157894736841,-2,9.17015986082693,410.679542795208,394.761864130454,122.401003849941,0.307072495808427,0.293487908159818,0.106157499338791,-0.446536450565755,-0.476190476190476,0.547383542586496,73.026288841124,73.8714285714286,15.6004309637151
Aug_P_1_M_12_so_R1,0.158488920698923,0,0.265825637967977,0.257240709604672,0.183673469387755,0.271456297885925,9.84755512943432,9,6.87092447436667,0.693192713326942,-1,9.44148058077166,392.499288827826,376.61804662645,110.202369155944,0.304510106619384,0.287769529062189,0.111392369675183,-0.339477744900928,-0.333333333333333,0.559096253371924,69.9751157296764,69.8,15.9342432210998
Aug_P_1_D_12_so_R1,0.133236103679987,0,0.243123318170778,0.236787028985278,0.166666666666667,0.253894994731225,9.43015214384509,8,6.26231878415115,0.162747810050715,-1,8.37617508479994,398.258429436949,382.735922665021,111.714234631219,0.304125823882071,0.285570708458067,0.115688636921019,-0.352408377181137,-0.333333333333333,0.569902753723866,70.3436387496624,69.8,16.2422284811302
Aug_P_2_S_12_so_R1,0.161016422458862,0,0.265545608925058,0.261237906376271,0.191489361702128,0.265743245103886,10.028627195836,9,6.73013765585712,0.866623292127521,-1,9.72705827133045,387.798412839101,374.663473460025,108.546536922894,0.2956700011359,0.283762615362122,0.104056486304581,-0.293225141902152,-0.266666666666667,0.510885830815781,68.6569165442113,67.9,14.5602461782498
Aug_P_2_M_12_so_R1,0.136170467012582,0,0.240600606641517,0.239612712370796,0.176470588235294,0.250162381508727,9.52932895354294,9,6.40128790373317,0.442045987799155,-1,8.68352259387052,399.17471304713,385.736453050697,110.996452203236,0.30144483559891,0.284468676087158,0.10728224010933,-0.392539513733493,-0.4,0.572963075439419,71.4873761414046,71.7,16.3294476500234
Aug_P_2_D_12_so_R2,0.132492297572253,0,0.2305402206781,0.247780728255867,0.185812931575643,0.250161558032098,9.83712428919578,9,6.27337358263162,0.222989439480097,-1,7.93659040189977,406.396473324285,390.713944026856,115.973002962793,0.317443647106678,0.296965977318223,0.118699410973468,-0.309852008299187,-0.29520697167756,0.586717426385264,69.1307822365268,68.7133986928105,16.72144665198
Aug_P_2_D_12_so_R1,0.140834119085044,0,0.244987202864171,0.25848617223088,0.2,0.260331284664499,9.84503213049926,9,6.3517938918362,0.319574888779041,-1,8.33058742596963,404.511479085671,386.726413616208,121.899615521652,0.318417821545921,0.295661613981537,0.126979308441522,-0.27394798746824,-0.25,0.590697286727676,68.1075176428448,67.425,16.8348726717388
Aug_P_3_S_12_so_R1,0.188237730196254,0,0.286654325267432,0.273132867014576,0.185185185185185,0.282546510650578,10.5162654521796,9,7.4171901162877,1.46031229668185,-1,10.968455570897,394.93694265621,377.777642663737,116.273398809714,0.305481586213784,0.289975762808012,0.110170989532015,-0.328707386325682,-0.333333333333333,0.535580242824936,69.6681605102819,69.8,15.2640369205107
Aug_P_3_M_12_so_R2,0.165134282218131,0,0.267799299595319,0.2912777732018,0.25,0.266632814953842,10.6005135730007,10,6.71759528204455,1.01944240645635,-1,9.50252052412806,389.841629619147,375.752065769336,111.423224608225,0.312271855143178,0.297440846482345,0.110131003962192,-0.213332059504783,-0.2,0.539132455156608,66.3799636958863,66,15.3652749719633
Aug_P_3_M_12_so_R1,0.161891341397095,0,0.262761719307406,0.273516748611529,0.218451749734889,0.270463163211134,10.4416745061148,10,6.92756701672242,0.898400752587018,-1,9.45585544237466,403.079919683669,384.742401258593,118.775901693453,0.324150805285736,0.30476744210938,0.120461369281168,-0.269290356268784,-0.266666666666667,0.565182518992794,67.9747751536603,67.9,16.1077017912946
