Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
653.1153093,31,26,16,0,0,0,0,0,CHO,NA,654.1226393,0.765829177,NA,C31H26O16,0.2,0.478260869565217,19,3,3,54.7838709677419,652.386034910975,0.613965089025442,0.193548387096774,0.516129032258065,0.838709677419355,0,0,NA,Lignin,Lignin,Other
653.1365927,24,33,18,1,0,0,1,0,CHNOP,NA,654.1439227,0.525667003,NA,C24H33O18NP,0,0,9.5,-8.5,-10.5,59.1125,652.40729454574,0.592705454259999,0.0416666666666665,0.75,1.375,0.0416666666666667,0.0416666666666667,1,Other,Tannin,Other
653.1517611,32,30,15,0,0,0,0,0,CHO,NA,654.1590911,0.867132393,NA,C32H30O15,0.176470588235294,0.428571428571429,18,3,3,60.3,652.422446008569,0.577553991431046,0,0.46875,0.9375,0,0,NA,Lignin,Lignin,Other
653.1728671,29,34,17,0,0,0,0,0,CHO,NA,654.1801971,0.83139387,NA,C29H34O17,0,0.219512195121951,13,-4,-4,60.3,652.443528441421,0.556471558579233,0,0.586206896551724,1.17241379310345,0,0,NA,Lignin,Lignin,Other
653.181007,0,0,0,0,0,0,0,0,,NA,654.188337,0,NA,NA,NA,NA,NA,NA,NA,NA,652.451659252336,0.54834074766427,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.1860628,0,0,0,0,0,0,0,0,,NA,654.1933928,0,NA,NA,NA,NA,NA,NA,NA,NA,652.456709406984,0.54329059301574,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.1886975,0,0,0,0,0,0,0,0,,NA,654.1960275,0,NA,NA,NA,NA,NA,NA,NA,NA,652.459341165055,0.540658834945248,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.1940229,26,38,19,0,0,0,0,0,CHO,NA,654.2013529,0.87171279,NA,C26H38O19,0,0,8,-11,-11,60.3,652.464660618666,0.535339381334438,0,0.730769230769231,1.46153846153846,0,0,NA,Other,Tannin,Other
653.209103,30,38,16,0,0,0,0,0,CHO,NA,654.216433,0.602681697,NA,C30H38O16,0,0.181818181818182,12,-4,-4,66,652.479723880091,0.520276119908772,-0.2,0.533333333333333,1.26666666666667,0,0,NA,Lignin,Lignin,Other
653.209922,0,0,0,0,0,0,0,0,,NA,654.217252,0,NA,NA,NA,NA,NA,NA,NA,NA,652.480541965588,0.519458034411514,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.2118003,0,0,0,0,0,0,0,0,,NA,654.2191303,0,NA,NA,NA,NA,NA,NA,NA,NA,652.482418168262,0.517581831738084,NA,NA,NA,NA,NA,NA,NA,NA,NA
653.2152134,23,42,21,0,0,0,0,0,CHO,NA,654.2225434,0.965162822,NA,C23H42O21,0,0,3,-18,-18,60.3,652.485827457164,0.514172542836036,0,0.91304347826087,1.82608695652174,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
653.2303987,27,42,18,0,0,0,0,0,CHO,NA,654.2377287,0.856843267,NA,C27H42O18,0,0,7,-11,-11,66.6333333333333,652.500995801122,0.499004198877742,-0.222222222222222,0.666666666666667,1.55555555555556,0,0,NA,Amino Sugar,Amino Sugar,Other
