,RCBC,site1,site2
822,1,16,47
823,1,16,48
824,1,16,49
825,1,16,50
826,1,16,51
827,1,16,52
828,1,16,53
829,1,16,54
830,1,16,55
831,1,16,56
832,1,16,57
833,1,16,58
834,1,16,59
835,-1,16,60
836,-1,16,61
837,0.81,16,62
838,-1,16,63
839,-1,16,64
840,-1,16,65
841,-0.36,16,66
842,-1,16,67
843,-1,17,18
844,-1,17,19
845,-1,17,20
846,-1,17,21
847,-1,17,22
848,-1,17,23
849,1,17,24
850,1,17,25
851,1,17,26
852,1,17,27
853,1,17,28
854,1,17,29
855,1,17,30
856,1,17,31
857,1,17,32
858,1,17,33
859,1,17,34
860,1,17,35
861,1,17,36
862,0.97,17,37
863,1,17,38
