,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
20110800_S1S_6,-0.122738434034542,-0.122738434034542,NA,-0.122738434034542,-0.122738434034542,-0.122738434034542,-0.122738434034542,NA,NA,-0.122738434034542,-0.122738434034542,-0.122738434034542,-0.122738434034542,-0.122738434034542,-0.122738434034542,-0.122738434034542,-0.122738434034542,-0.122738434034543,-0.122738434034543,NA,-0.122738434034542,-0.122738434034542
20120700_S3X_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.422996674037885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120700_S1D_96,-0.440809581709301,-0.440809581709301,NA,-0.440809581709301,-0.440809581709301,NA,-0.440809581709301,-0.440809581709301,-0.440809581709302,-0.440809581709302,-0.440809581709302,-0.440809581709301,-0.440809581709302,-0.440809581709302,-0.440809581709301,-0.440809581709301,-0.440809581709301,-0.440809581709301,NA,NA,-0.440809581709301,-0.440809581709301
PMTF01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.690668819405401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120500_P17_2,NA,NA,NA,NA,NA,NA,-0.74172287038387,-0.74172287038387,-0.74172287038387,NA,NA,-0.74172287038387,NA,NA,-0.74172287038387,-0.74172287038387,NA,NA,NA,NA,NA,NA
20140700_S31_6,-0.671580074274511,-0.671580074274511,NA,-0.671580074274511,-0.671580074274511,NA,-0.671580074274511,-0.671580074274511,NA,-0.671580074274511,-0.671580074274511,-0.671580074274511,-0.671580074274511,-0.671580074274511,NA,-0.671580074274511,-0.671580074274511,NA,NA,NA,NA,-0.671580074274511
20120600_S3D_7,-11.7312029719061,-11.7105441970602,-11.683850016612,-11.9014314122891,-11.1246605284449,-11.5847598369471,-11.8419754097596,-11.3204528210544,-11.5646549790727,-11.765124461618,-11.323031467808,-11.1760323893798,-11.560174007775,-11.8012823090958,-11.4639248985236,-11.3701706861123,-11.3946768661799,-11.3006195966396,-11.8651849344533,-11.8827359178297,-11.8834265418169,-11.7503874847565
20140700_S15_2,NA,NA,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,NA,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,-0.410796560345563,NA
20130700_S3M_8,NA,NA,-0.438580019856727,-0.438580019856726,-0.438580019856726,NA,-0.438580019856726,-0.438580019856727,-0.438580019856726,NA,-0.438580019856726,-0.438580019856726,NA,NA,-0.438580019856726,-0.438580019856726,NA,-0.438580019856726,NA,NA,NA,NA
20130700_S3Z_17,NA,NA,-0.583422875096479,NA,-0.583422875096479,-0.583422875096479,NA,-0.583422875096479,NA,NA,NA,-0.583422875096479,NA,NA,-0.583422875096479,NA,NA,NA,NA,NA,NA,NA
20140700_S21_3,NA,NA,NA,NA,NA,NA,-0.438274636048382,-0.438274636048382,NA,NA,NA,-0.438274636048382,NA,NA,NA,-0.438274636048382,NA,NA,NA,NA,NA,-0.438274636048382
