Member,Value,Direction,Domain,Phylum,Class,Order,Family,Genus,Species
20130700_C1D_6,-0.75417,Insignificant,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__UBA3254,g__Fen-1064,s__
20130700_C1D_8,-0.822279869,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Fen-1467,s__
20130700_C1D_9,-0.690922457,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__,s__
20130700_C1M_6,-12.16458234,Sig. Low,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20130700_C1X_17,-0.72521322,Insignificant,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__LD21,s__
20130700_C1X_6,-0.659447567,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
20130700_C1X_8,0.420618131,Insignificant,d__Bacteria,p__Fibrobacterota,c__Chitinivibrionia,o__Chitinivibrionales,f__Chitinispirillaceae,g__FEN-1185,s__
20130700_C1Y_13,-0.588363618,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-224,s__
20130700_C1Y_5,-0.740307527,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Fen-1467,s__
20130700_C2D_3,-0.025342151,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_C2D_7,5.919758222,Sig. High,d__Bacteria,p__Firmicutes,c__Bacilli,o__RFN20,f__CAG-826,g__UBA4951,s__
20130700_C2M_13,0.845591126,Insignificant,d__Bacteria,p__Fibrobacterota,c__Chitinivibrionia,o__Chitinivibrionales,f__Chitinispirillaceae,g__,s__
20130700_C2M_16,-0.90272185,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__
20130700_C2M_17,-0.788678105,Insignificant,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__EnvOPS12,g__UBA877,s__
20130700_C2M_2,1.097493662,High,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Bog-532,s__
20130700_C2M_20,-0.45576638,Insignificant,d__Bacteria,p__Myxococcota,c__Polyangia,o__Palsa-1104,f__Fen-1088,g__,s__
20130700_C2M_3,-0.917065156,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__
20130700_C2M_5,-0.663583035,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-375,s__
20130700_C2M_9,-0.934699468,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
20130700_C2X_10,-0.43894393,Insignificant,d__Bacteria,p__Myxococcota,c__Polyangia,o__Palsa-1104,f__Fen-1088,g__,s__
20130700_C2X_11,-0.604196038,Insignificant,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA10030,g__Fen-1298,s__
