Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
697.2054029,5.404817294,Sig. High,697.2054029,46,34,5,0,0,1,0,0,CHOS,NA,698.2127329,-0.021298668,NA,C46H34O5S,0.6,0.623529412,30,25,24,73.93043478,696.4268971,0.573102881,-0.47826087,0.108695652,0.739130435,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
675.1998749,4.787631177,Sig. High,675.1998749,47,32,3,0,0,1,0,0,CHOS,NA,676.2072049,-0.122238549,NA,C47H32O3S,0.651162791,0.662921348,32,29,28,74.85319149,674.4459407,0.554059312,-0.510638298,0.063829787,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
689.2155115,3.227447897,Sig. High,689.2155115,48,34,3,0,0,1,0,0,CHOS,NA,690.2228415,-0.111614073,NA,C48H34O3S,0.636363636,0.648351648,32,29,28,75.7375,688.4459273,0.554072697,-0.541666667,0.0625,0.708333333,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
705.2104365,4.477304755,Sig. High,705.2104365,48,34,4,0,0,1,0,0,CHOS,NA,706.2177665,-0.094318943,NA,C48H34O4S,0.627906977,0.644444444,32,28,27,74.55,704.4229922,0.577007773,-0.5,0.083333333,0.708333333,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
663.2361662,1.251874521,High,663.2361662,47,36,2,0,0,1,0,0,CHOS,NA,664.2434962,-0.237506514,NA,C47H36O2S,0.613636364,0.622222222,30,28,27,78.49148936,662.4955908,0.504409228,-0.638297872,0.042553191,0.765957447,0,0,NA,Other,Cond Hydrocarbon,Other
683.2260042,4.824951262,Sig. High,683.2260042,46,36,4,0,0,1,0,0,CHOS,NA,684.2333342,-0.2178161,NA,C46H36O4S,0.585365854,0.604651163,29,25,24,76.40869565,682.4631079,0.53689206,-0.565217391,0.086956522,0.782608696,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
699.2209271,1.880213315,High,699.2209271,46,36,5,0,0,1,0,0,CHOS,NA,700.2282571,-0.200894565,NA,C46H36O5S,0.575,0.6,29,24,23,75.16956522,698.4401708,0.559829234,-0.52173913,0.108695652,0.782608696,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
709.2052689,2.199979403,Sig. High,709.2052689,47,34,5,0,0,1,0,0,CHOS,NA,710.2125989,-0.20961467,NA,C47H34O5S,0.609756098,0.632183908,31,26,25,73.64042553,708.413364,0.586636039,-0.468085106,0.106382979,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
691.1947105,3.079645428,Sig. High,691.1947105,47,32,4,0,0,1,0,0,CHOS,NA,692.2020405,-0.205911273,NA,C47H32O4S,0.642857143,0.659090909,32,28,27,73.64042553,690.4229163,0.577083689,-0.468085106,0.085106383,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
693.2103594,7.34588719,Sig. High,693.2103594,47,34,4,0,0,1,0,0,CHOS,NA,694.2176894,-0.206998895,NA,C47H34O4S,0.619047619,0.636363636,31,27,26,74.85319149,692.4363145,0.56368548,-0.510638298,0.085106383,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
669.210196,1.51888117,High,669.210196,45,34,4,0,0,1,0,0,CHOS,NA,670.217526,-0.45824508,NA,C45H34O4S,0.6,0.619047619,29,25,24,75.5,668.4629499,0.537050083,-0.533333333,0.088888889,0.755555556,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
677.2154775,5.980647068,Sig. High,677.2154775,47,34,3,0,0,1,0,0,CHOS,NA,678.2228075,-0.163728141,NA,C47H34O3S,0.627906977,0.640449438,31,28,27,76.06595745,676.4592926,0.540707352,-0.553191489,0.063829787,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
681.2103842,7.36233005,Sig. High,681.2103842,46,34,4,0,0,1,0,0,CHOS,NA,682.2177142,-0.174267968,NA,C46H34O4S,0.609756098,0.627906977,30,26,25,75.16956522,680.4497386,0.550261401,-0.52173913,0.086956522,0.739130435,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
659.2048427,4.007842255,Sig. High,659.2048427,47,32,2,0,0,1,0,0,CHOS,NA,660.2121727,-0.274396981,NA,C47H32O2S,0.659090909,0.666666667,32,30,29,76.06595745,658.4687687,0.531231316,-0.553191489,0.042553191,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
691.2674476,1.637344731,High,691.2674476,49,40,2,0,0,1,0,0,CHOS,NA,692.2747776,-0.254879962,NA,C49H40O2S,0.586956522,0.595744681,30,28,27,80.0755102,690.4955722,0.504427807,-0.693877551,0.040816327,0.816326531,0,0,NA,Other,Unsat Hydrocarbon,Other
673.2206247,2.133130695,Sig. High,673.2206247,48,34,2,0,0,1,0,0,CHOS,NA,674.2279547,-0.121553845,NA,C48H34O2S,0.644444444,0.652173913,32,30,29,76.925,672.4689005,0.531099464,-0.583333333,0.041666667,0.708333333,0,0,NA,Other,Cond Hydrocarbon,Other
709.241911,2.19388563,Sig. High,709.241911,48,38,4,0,0,1,0,0,CHOS,NA,710.249241,0.151704526,NA,C48H38O4S,0.581395349,0.6,30,26,25,76.925,708.4499651,0.550034854,-0.583333333,0.083333333,0.791666667,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
682.3005203,8.182854665,Sig. High,682.3005203,48,44,2,0,0,0,1,0,CHOP,NA,683.3078503,-0.140297906,NA,C48H44O2P,0.544444444,0.554347826,27.5,25.5,24.5,87.01875,681.5386574,0.461342556,-0.9375,0.041666667,0.916666667,0,0.020833333,0,Other,Unsat Hydrocarbon,Phytochemical
524.1913033,7.6891646,Sig. High,524.1913033,36,30,2,0,0,0,1,0,CHOP,NA,525.1986333,0.452206302,NA,C36H30O2P,0.590909091,0.602941176,22.5,20.5,19.5,84.84166667,523.6059866,0.394013392,-0.861111111,0.055555556,0.833333333,0,0.027777778,0,Unsat Hydrocarbon,Unsat Hydrocarbon,Phytochemical
