Microbe,cluster,rho,pvalue,p_adj,Domain,Phylum,Class,Order,Family,Genus,Species
20140700_S21_18,Cluster3,0.6526721670928369,9.929687672940446e-4,0.003979618976543755,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-343,s__
20110800_S3S_25,Cluster1,0.699514743053745,4.1676885328678637e-4,0.002014762532655223,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20110800_S3S_25,Cluster2,0.5425900818509798,0.009079228336151601,0.023650208042661342,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20110800_S3S_25,Cluster3,0.48679028068019337,0.02158950773903401,0.04817121117514717,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20120700_S1D_64,Cluster3,0.5528176670276358,0.007623489979224907,0.020630171370652622,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20110600_S1D_15,Cluster1,-0.5491035425943425,0.009936035506629803,0.02544462010225356,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165005
Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86,Cluster1,-0.526211402699868,0.014270599347819157,0.034216823860194284,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20120700_S1D_114,Cluster4,0.49236888449050253,0.01992020999161781,0.045167786133854734,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165075
20150700_E15_22,Cluster1,-0.611173261224923,0.003245734304881731,0.010269670945595007,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20120800_E1D_18,Cluster2,-0.5250549500276015,0.01210354787762613,0.029922660030797934,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003142935
